YEAR    DECJAN  JANFEB  FEBMAR  MARAPR  APRMAY  MAYJUN  JUNJUL  JULAUG  AUGSEP  SEPOCT  OCTNOV  NOVDEC
2005	.31	.81	1.055	.642	.836	.585	.49	.352	.288	-.149	-.376	-.576
2006	-.435	-.411	-.533	-.621	.008	.53	.691	.759	.825	.934	1.322	.998
2007	1.012	.542	.112	.015	.247	-.215	-.288	-.441	-1.092	-1.103	-1.119	-1.129
2008	-.968	-1.355	-1.583	-.874	-.368	.133	.054	-.266	-.561	-.72	-.502	-.608
2009	-.711	-.677	-.678	-.109	.361	.819	1.035	1.067	.805	1.038	1.088	1.041
2010	1.152	1.521	1.427	.95	.643	-.325	-1.156	-1.683	-1.954	-1.896	-1.523	-1.529
2011	-1.645	-1.53	-1.511	-1.392	-.288	-.075	-.228	-.519	-.713	-.939	-.886	-.912
2012	-.995	-.665	-.377	.127	.747	.835	1.098	.619	.328	.139	.21	.081
2013	.069	-.119	-.128	.069	.146	-.168	-.355	-.48	-.095	.135	-.027	-.255
2014	-.287	-.241	.032	.248	.976	.98	.882	.954	.602	.411	.772	.611
2015	.419	.468	.67	.97	1.584	2.045	1.948	2.366	2.527	2.225	2.308	2.123
2016	2.202	2.121	1.96	2.07	1.699	1.001	.312	.175	0.000	0.000	0.000
